date,"Net productivity output per hour","Total compensation per hour"
1948-01-01,100,100
1949-01-01,101.7100897239574,105.35767607830428
1950-01-01,109.46295752052966,109.31234653331532
1951-01-01,111.27843758358158,110.3468381956502
1952-01-01,113.81579251407766,113.23104771549303
1953-01-01,118.44987539669188,119.10638685169796
1954-01-01,121.62733816653338,122.50089247779373
1955-01-01,128.69659526212732,127.10448703191892
1956-01-01,130.7059512727195,131.81695449621205
1957-01-01,134.18052020053298,134.78372687443996
1958-01-01,135.99256556351065,135.1331015960754
1959-01-01,142.21290698695023,139.6881863384814
1960-01-01,143.91988141733933,142.20477751279446
1961-01-01,148.66588129995182,144.49418723047873
1962-01-01,154.76473777859792,148.85851702722374
1963-01-01,160.54431045852732,151.85077324083872
1964-01-01,165.71793150307423,154.96044629466604
1965-01-01,171.67313766930204,158.67500186472515
1966-01-01,176.26306260054722,160.94031449005962
1967-01-01,178.74957281356006,163.68098873676513
1968-01-01,184.7055840991696,167.0864959332587
1969-01-01,186.64346070552148,170.91051725205617
1970-01-01,189.95260905636312,172.9394945168347
1971-01-01,198.5106053548506,177.8303928615941
1972-01-01,206.5982398436448,187.01210610241532
1973-01-01,209.60790635784753,186.53162088134857
1974-01-01,204.08562467918352,182.49223513686005
1975-01-01,209.54844198002883,181.78181101220855
1976-01-01,214.79411318764664,184.1503459373832
1977-01-01,216.52367359492575,187.0110203612861
1978-01-01,218.89858654132047,189.58102639662505
1979-01-01,216.26130772574484,187.37156300609655
1980-01-01,210.65257833497947,182.60426404028857
1981-01-01,214.2395104411033,181.7604749695434
1982-01-01,212.2411606689456,182.34594781403297
1983-01-01,218.89106467053935,183.57385782577907
1984-01-01,224.0879728340712,182.6046841018766
1985-01-01,227.78277272130632,182.1845876990021
1986-01-01,233.23645543586892,183.8970904286192
1987-01-01,232.0588260276224,181.81399158171143
1988-01-01,235.0613918607659,181.2448113242519
1989-01-01,236.5609713677644,181.53392917661748
1990-01-01,237.6150321666489,180.53839869674695
1991-01-01,239.17902487320387,180.65087745717824
1992-01-01,248.3037320176809,182.12156019689417
1993-01-01,249.37223701135056,182.61283748002865
1994-01-01,251.38195753360895,183.12274548879304
1995-01-01,251.66851126057765,182.45721798719737
1996-01-01,255.02966618506323,182.66064838745743
1997-01-01,258.79443914243035,184.74715673117208
1998-01-01,264.226931895189,189.26736112078095
1999-01-01,270.1036460605858,192.07452333987823
2000-01-01,273.25201676908046,192.97208753091832
2001-01-01,277.78386524627075,196.99377935993772
2002-01-01,287.09920319938226,201.68953814428664
2003-01-01,296.7778279321281,204.27890647514712
2004-01-01,305.6233567847,203.89937917595228
2005-01-01,311.6505257575057,203.94758023063707
2006-01-01,313.71767206559787,204.84801558782988
2007-01-01,317.33998184222753,207.16652290656324
2008-01-01,314.64263297682373,207.49577330417975
2009-01-01,327.22476832973337,216.14206969842695
2010-01-01,337.1748268117572,218.5443884487083
2011-01-01,334.0649756976207,215.97463524955535
2012-01-01,335.3389873084331,214.30374753382057
2013-01-01,339.35210573170684,216.90407078860235
2014-01-01,341.81073385483785,218.07050837242645
2015-01-01,348.1439772296571,222.17304845468811
2016-01-01,350.36975177195814,225.06486633827944
2017-01-01,354.70334977064044,226.19740154326684
2018-01-01,359.55320793322494,228.5623074260434
2019-01-01,365.1482514222283,232.4615915374479
2020-01-01,379.4673268784011,241.1722747789481
2021-01-01,388.9041634282479,240.50275578522036
2022-01-01,383.3558687243637,235.88637394123137
2023-01-01,388.25954034076256,238.72980933322535
2024-01-01,396.035112853433,242.52354046522711